img_path,class_names
/content/FER2013/train/surprise/Training_90031426.jpg,surprise
/content/FER2013/train/sadness/Training_30502031.jpg,sadness
/content/FER2013/train/anger/Training_21816646.jpg,anger
/content/FER2013/train/neutral/Training_37632635.jpg,neutral
/content/FER2013/train/surprise/Training_87518128.jpg,surprise
/content/FER2013/train/anger/Training_38334419.jpg,anger
/content/FER2013/train/happy/Training_67435739.jpg,happy
/content/FER2013/train/neutral/Training_22680644.jpg,neutral
/content/FER2013/train/happy/Training_88196061.jpg,happy
/content/FER2013/train/fear/Training_52337440.jpg,fear
/content/FER2013/train/anger/Training_1426440.jpg,anger
/content/FER2013/train/happy/Training_7148918.jpg,happy
/content/FER2013/train/anger/Training_98524402.jpg,anger
/content/FER2013/train/happy/Training_93030255.jpg,happy
/content/FER2013/train/sadness/Training_26226901.jpg,sadness
/content/FER2013/train/happy/Training_5866908.jpg,happy
/content/FER2013/train/anger/Training_5919211.jpg,anger
/content/FER2013/train/anger/Training_76241015.jpg,anger
/content/FER2013/train/neutral/Training_33447652.jpg,neutral
/content/FER2013/train/fear/Training_23549188.jpg,fear
/content/FER2013/train/surprise/Training_37971470.jpg,surprise
/content/FER2013/train/sadness/Training_69620341.jpg,sadness
/content/FER2013/train/happy/Training_98711609.jpg,happy
/content/FER2013/train/anger/Training_97652047.jpg,anger
/content/FER2013/train/anger/Training_3645316.jpg,anger
/content/FER2013/train/neutral/Training_76669325.jpg,neutral
/content/FER2013/train/sadness/Training_45657588.jpg,sadness
/content/FER2013/train/anger/Training_66823441.jpg,anger
/content/FER2013/train/surprise/Training_7906576.jpg,surprise
/content/FER2013/train/neutral/Training_57416445.jpg,neutral
/content/FER2013/train/happy/Training_13983518.jpg,happy
/content/FER2013/train/neutral/Training_97062053.jpg,neutral
/content/FER2013/train/fear/Training_71848443.jpg,fear
/content/FER2013/train/happy/Training_19487387.jpg,happy
/content/FER2013/train/happy/Training_61374496.jpg,happy
/content/FER2013/train/happy/Training_29406828.jpg,happy
/content/FER2013/train/sadness/Training_68256652.jpg,sadness
/content/FER2013/train/neutral/Training_45151385.jpg,neutral
/content/FER2013/train/happy/Training_91377101.jpg,happy
/content/FER2013/train/neutral/Training_96249610.jpg,neutral
/content/FER2013/train/happy/Training_41478547.jpg,happy
/content/FER2013/train/happy/Training_59123247.jpg,happy
/content/FER2013/train/surprise/Training_13566731.jpg,surprise
/content/FER2013/train/happy/Training_2949575.jpg,happy
/content/FER2013/train/happy/Training_83133712.jpg,happy
/content/FER2013/train/happy/Training_65694565.jpg,happy
/content/FER2013/train/sadness/Training_39168875.jpg,sadness
/content/FER2013/train/neutral/Training_98462092.jpg,neutral
/content/FER2013/train/surprise/Training_87215245.jpg,surprise
/content/FER2013/train/neutral/Training_35775479.jpg,neutral
/content/FER2013/train/happy/Training_24807064.jpg,happy
/content/FER2013/train/happy/Training_53967655.jpg,happy
/content/FER2013/train/sadness/Training_21220385.jpg,sadness
/content/FER2013/train/sadness/Training_23134855.jpg,sadness
/content/FER2013/train/fear/Training_20275209.jpg,fear
/content/FER2013/train/sadness/Training_46831353.jpg,sadness
/content/FER2013/train/anger/Training_18688703.jpg,anger
/content/FER2013/train/neutral/Training_58562076.jpg,neutral
/content/FER2013/train/happy/Training_29733193.jpg,happy
/content/FER2013/train/sadness/Training_14739337.jpg,sadness
/content/FER2013/train/happy/Training_67118073.jpg,happy
/content/FER2013/train/sadness/Training_18572501.jpg,sadness
/content/FER2013/train/neutral/Training_76335558.jpg,neutral
/content/FER2013/train/happy/Training_22315819.jpg,happy
/content/FER2013/train/neutral/Training_16911656.jpg,neutral
/content/FER2013/train/sadness/Training_97088251.jpg,sadness
/content/FER2013/train/neutral/Training_29604209.jpg,neutral
/content/FER2013/train/anger/Training_71075692.jpg,anger
/content/FER2013/train/sadness/Training_21007101.jpg,sadness
/content/FER2013/train/fear/Training_66264474.jpg,fear
/content/FER2013/train/fear/Training_12246633.jpg,fear
/content/FER2013/train/surprise/Training_49458277.jpg,surprise
/content/FER2013/train/surprise/Training_64363613.jpg,surprise
/content/FER2013/train/happy/Training_86968205.jpg,happy
/content/FER2013/train/neutral/Training_1234249.jpg,neutral
/content/FER2013/train/neutral/Training_17042478.jpg,neutral
/content/FER2013/train/happy/Training_68692909.jpg,happy
/content/FER2013/train/sadness/Training_62059259.jpg,sadness
/content/FER2013/train/anger/Training_44379009.jpg,anger
/content/FER2013/train/fear/Training_36569562.jpg,fear
/content/FER2013/train/happy/Training_20545074.jpg,happy
/content/FER2013/train/happy/Training_58990550.jpg,happy
/content/FER2013/train/happy/Training_28936585.jpg,happy
/content/FER2013/train/anger/Training_41586842.jpg,anger
/content/FER2013/train/sadness/Training_40930963.jpg,sadness
/content/FER2013/train/neutral/Training_46398870.jpg,neutral
/content/FER2013/train/sadness/Training_9931111.jpg,sadness
/content/FER2013/train/neutral/Training_74041190.jpg,neutral
/content/FER2013/train/happy/Training_91869672.jpg,happy
/content/FER2013/train/neutral/Training_58848349.jpg,neutral
/content/FER2013/train/fear/Training_59734530.jpg,fear
/content/FER2013/train/sadness/Training_52443035.jpg,sadness
/content/FER2013/train/anger/Training_53454302.jpg,anger
/content/FER2013/train/neutral/Training_39817403.jpg,neutral
/content/FER2013/train/neutral/Training_51843077.jpg,neutral
/content/FER2013/train/sadness/Training_67277941.jpg,sadness
/content/FER2013/train/happy/Training_88250894.jpg,happy
/content/FER2013/train/anger/Training_70796272.jpg,anger
/content/FER2013/train/happy/Training_86339701.jpg,happy
/content/FER2013/train/happy/Training_77981697.jpg,happy
/content/FER2013/train/surprise/Training_47244276.jpg,surprise
/content/FER2013/train/anger/Training_52788224.jpg,anger
/content/FER2013/train/neutral/Training_64004203.jpg,neutral
/content/FER2013/train/neutral/Training_25372467.jpg,neutral
/content/FER2013/train/surprise/Training_79684413.jpg,surprise
/content/FER2013/train/anger/Training_48165381.jpg,anger
/content/FER2013/train/fear/Training_720718.jpg,fear
/content/FER2013/train/anger/Training_13081843.jpg,anger
/content/FER2013/train/neutral/Training_9782199.jpg,neutral
/content/FER2013/train/happy/Training_54975152.jpg,happy
/content/FER2013/train/happy/Training_99097721.jpg,happy
/content/FER2013/train/neutral/Training_45374129.jpg,neutral
/content/FER2013/train/neutral/Training_3496946.jpg,neutral
/content/FER2013/train/surprise/Training_68106210.jpg,surprise
/content/FER2013/train/neutral/Training_32752627.jpg,neutral
/content/FER2013/train/happy/Training_27915252.jpg,happy
/content/FER2013/train/sadness/Training_30029805.jpg,sadness
/content/FER2013/train/neutral/Training_92464227.jpg,neutral
/content/FER2013/train/fear/Training_19824639.jpg,fear
/content/FER2013/train/anger/Training_18972883.jpg,anger
/content/FER2013/train/neutral/Training_27554503.jpg,neutral
/content/FER2013/train/neutral/Training_75227462.jpg,neutral
/content/FER2013/train/neutral/Training_477915.jpg,neutral
